,"SC-superconducting, NM-normal, TS-transitional",,,,,,,Beam Parameters,,,Laser Parameters,,,Channel assignments,,,,,,,
Series Number,Type,Voltage (V),#Traces (neutron assumed 3600),Seconds of DAQ,Rad source?,Fridge Temp (mK),PMT Series,Beam Current (nA),Beam B Field (mT),Terminal Voltage (MV),Laser Pulse Freq (MHz),Laser Burst Freq (Hz),Laser Power,CH2&3,CH1,CH4,CHD0 ,CHD1,CHD2,"Bias (percentage, CH2, CH3)",Comment
20190701093505,TS noise,250,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144","Because there is a lot of high frequency noise, we grouned the fridge and checked the TS noise again."
20190701095429,TS noise,250,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144",
20190701095834,TS noise,100,10,0,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144",
20190701103127,Laser,100,3600,3600,No,52,,,,,1,101,10,TES,N/C,N/C,Laser Trig,N/C,N/C,"~30%, 1137, 1144",
20190701114028,Laser,100,3600,3600,No,52,,,,,1,101,20,TES,N/C,N/C,Laser Trig,N/C,N/C,"~30%, 1137, 1144",
20190701131814,Laser,100,3600,3600,No,52,,,,,1,101,30,TES,N/C,N/C,Laser Trig,N/C,N/C,"~30%, 1137, 1144",
20190701144430,Background,100,1920,1925,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144",
20190701151626,Beam,100,838,840,Neutron,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144","Beam on, and the beam intensity went up in between"
20190701165341,Beam,100,1070,1071,Neutron,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144",Beam on
20190701171127,Beam,100,2633,2635,Neutron,52,,420,198.273,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144",Beam on
20190701180216,Beam,100,2839,3600,Neutron,52,,,198.073,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144",
20190701200504,Beam,,,3132,Neutron,52,,,198.178,,,,,TES,N/C,N/C,N/C,N/C,N/C,"~30%, 1137, 1144","100V, but not recording the voltage."
201907011127,PMT,,,0,,,,,,,,,,,,,,,,,
20190702084427,IV curve,100,,0,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,,
20190702085555,SC noise,100,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,,
20190702085652,NM noise,100,10,10,No,52,,,,,,,,TES,N/C,N/C,N/C,N/C,N/C,,
